warning QA1001: Badly formed XML comment ignored for member "M:Cambia.Web.CoreLib.PathHelper.GetUriSegments(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.GetTask(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Add(RXServer.Task)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Remove(RXServer.Task)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Remove(RXServer.Task)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.TaskCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.TaskCollection.Count"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.TaskCollection.Count"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.TaskCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.TaskCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Int32,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Int32,System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Task.#ctor(System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Task.#ctor(System.Boolean,System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Task.#ctor(System.String,System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "T:RXServer.ObjectCollection"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ObjectCollection.GetObject(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ObjectCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ObjectCollection.GetAllForNFM"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.ObjectCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.ObjectCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "T:RXServer.DocumentCollection"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.DocumentCollection.GetDocument(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.DocumentCollection.Contains(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Add(RXServer.Document)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.Add(RXServer.Document)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Remove(RXServer.Document)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.Remove(RXServer.Document)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.DocumentCollection.Remove(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Clear"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.DocumentCollection.Count"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.DocumentCollection.Count"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.DocumentCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.DocumentCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "T:RXServer.ModuleCollection"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ModuleCollection.GetModule(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ModuleCollection.GetModule(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ModuleCollection.GetModule(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.String)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.ModuleCollection.Contains(System.String)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.ModuleCollection.Item(System.Int32)"
information QA1004: blank or 'noise' <summary> tag ignored for member: "P:RXServer.ModuleCollection.Items"
information QA1004: blank or 'noise' <summary> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Authentication.SignInAndRedirectFromSSL(System.String,System.String,System.String,System.Int32,System.String)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles(System.String[],System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles(System.String[],System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles(System.String[],System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles2(System.String[],System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles2(System.String[],System.Int32)"
information QA1004: blank or 'noise' <returns> tag ignored for member: "M:RXServer.Web.Modules.Article.GetArticles2(System.String[],System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.CreateRSSFile(System.Int32,System.Int32,System.String,System.String,System.String,System.String,System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.CreateRSSFile(System.Int32,System.Int32,System.String,System.String,System.String,System.String,System.Int32)"
information QA1004: blank or 'noise' <param> tag ignored for member: "M:RXServer.Web.Modules.Article.CreateRSSFile(System.Int32,System.Int32,System.String,System.String,System.String,System.String,System.Int32)"
